,expected_goals_(xg)_diff,total_shots_diff,big_chances_diff,big_chances_missed_diff,accurate_passes_diff,accurate_passes_percentage_diff,fouls_committed_diff,offsides_diff,corners_diff,shots_off_target_diff,shots_on_target_diff,blocked_shots_diff,hit_woodwork_diff,shots_inside_box_diff,shots_outside_box_diff,xg_open_play_diff,xg_set_play_diff,xg_on_target_(xgot)_diff,passes_diff,own_half_diff,opposition_half_diff,accurate_long_balls_diff,accurate_long_balls_percentage_diff,accurate_crosses_diff,accurate_crosses_percentage_diff,throws_diff,yellow_cards_diff,red_cards_diff,tackles_won_diff,tackles_won_percentage_diff,interceptions_diff,blocks_diff,clearances_diff,keeper_saves_diff,duels_won_diff,ground_duels_won_diff,ground_duels_won_percentage_diff,aerial_duels_won_diff,aerial_duels_won_percentage_diff,successful_dribbles_diff,successful_dribbles_percentage_diff,score_diff,posession_diff,odds_sum,xg_penalty_diff,odds_predict,std_0,std_1,std_2,med_0,med_1,med_2,cv_odds,target
0,0.52,-1.0,2.0,1.0,-21.0,0.0,-3.0,0.0,1.0,1.0,-2.0,0.0,0.0,-1.0,0.0,0.37000000000000005,0.13999999999999999,0.37000000000000005,-23.0,-34.0,13.0,13.0,0.31000000000000005,4.0,0.29,3.0,0.0,0.0,-4.0,-0.5,-2.0,0.0,-11.0,3.0,10.0,6.0,0.2,4.0,0.28,3.0,0.16999999999999998,1.0,-2.0,1.0833333333333333,,1,0.21049893439073414,0.020865296238545307,1.0518561613086863,4.5,1.2857142857142856,12.0,0.9273978505024489,1
1,-0.5199999999999999,-4.0,0.0,0.0,-41.0,-0.04999999999999993,3.0,2.0,1.0,-3.0,1.0,-2.0,0.0,-3.0,-1.0,-0.53,0.010000000000000002,1.21,-34.0,29.0,-70.0,5.0,-0.10000000000000003,0.0,0.03,-8.0,0.0,0.0,1.0,0.07000000000000006,1.0,3.0,6.0,-2.0,4.0,1.0,0.040000000000000036,3.0,0.15999999999999998,3.0,0.19,0.0,-8.0,1.073680063041765,,2,0.06254929705269247,0.10447276559774538,0.06170985757226314,2.7,3.6,2.35,0.2236478858052382,2
2,0.39999999999999997,6.0,0.0,0.0,231.0,0.21999999999999997,1.0,0.0,8.0,2.0,0.0,4.0,1.0,6.0,0.0,0.18,0.22,-0.2,230.0,91.0,140.0,9.0,0.32000000000000006,6.0,0.26,2.0,-1.0,0.0,-2.0,-0.41,1.0,-4.0,-14.0,-1.0,14.0,5.0,0.13999999999999996,9.0,0.6000000000000001,3.0,0.16000000000000003,-1.0,46.0,1.0627903600464577,,1,0.1083111348802983,0.05047521776085672,0.22063550780831828,3.2,1.9523809523809523,4.2,0.36121729008176306,1
3,0.0,8.0,3.0,2.0,34.0,0.010000000000000009,0.0,-1.0,1.0,5.0,3.0,0.0,0.0,7.0,1.0,,,,38.0,-16.0,50.0,0.0,0.08000000000000007,3.0,0.16999999999999998,-5.0,-1.0,0.0,6.0,0.08000000000000007,-3.0,0.0,-3.0,-2.0,8.0,8.0,0.19999999999999996,0.0,0.0,0.0,0.2,1.0,10.0,1.0587412587412588,,1,0.21012436587637354,0.013576739201500732,0.8442764761416072,5.5,1.25,13.0,0.9037123670177992,1
4,0.24,-2.0,0.0,0.0,81.0,0.10999999999999999,-4.0,0.0,6.0,-2.0,2.0,-2.0,0.0,1.0,-3.0,0.24,,0.61,98.0,66.0,15.0,20.0,0.22999999999999998,3.0,-0.020000000000000018,11.0,-2.0,0.0,0.0,0.06,4.0,2.0,-5.0,-1.0,7.0,4.0,0.12000000000000005,3.0,0.10000000000000003,1.0,-0.10000000000000003,1.0,28.0,1.0874125874125873,,1,0.3324989557210001,0.01210816621007402,0.8975274678557507,5.2,1.2222222222222223,13.0,0.9254397556655968,1
5,-0.16,-4.0,0.0,0.0,100.0,0.07999999999999996,-7.0,3.0,-1.0,-3.0,1.0,-2.0,0.0,-4.0,0.0,0.010000000000000002,-0.17,0.02,101.0,77.0,23.0,13.0,0.22999999999999998,-4.0,-0.57,-8.0,-1.0,0.0,0.0,0.0,0.0,2.0,2.0,-1.0,2.0,9.0,0.19999999999999996,-7.0,-0.45999999999999996,3.0,0.10999999999999999,0.0,22.0,1.0735930735930734,,0,0.05335936864527378,0.04409585518440988,0.20883273476902778,2.1,2.2,7.0,0.7435208428776979,1
6,-0.91,8.0,-1.0,0.0,15.0,0.05999999999999994,1.0,-1.0,5.0,4.0,2.0,2.0,1.0,6.0,2.0,-0.030000000000000027,-0.07,-0.8,2.0,-17.0,32.0,6.0,0.16999999999999998,4.0,-0.07,-4.0,0.0,0.0,-9.0,-0.20000000000000007,0.0,-2.0,-8.0,-3.0,-14.0,-12.0,-0.36000000000000004,-2.0,-0.19999999999999996,-1.0,-0.27,-1.0,4.0,1.0636731689363268,-0.79,2,0.07012366814951941,0.18682295939986848,0.020271235250396865,3.25,4.75,1.8333333333333335,0.44497578280762967,0
7,0.54,2.0,1.0,0.0,-30.0,0.010000000000000009,5.0,1.0,0.0,2.0,1.0,-1.0,2.0,2.0,0.0,0.15000000000000002,0.39,0.8600000000000001,-38.0,-9.0,-21.0,6.0,0.23000000000000004,1.0,0.10000000000000003,-1.0,0.0,0.0,-3.0,-0.020000000000000018,0.0,1.0,-1.0,1.0,-13.0,-13.0,-0.37999999999999995,0.0,0.0,-5.0,-0.69,3.0,-8.0,1.0478491781821844,,1,3.0081371127142607,0.005042432733679274,11.345875413069232,19.0,1.025,51.0,1.0692026796925231,1
8,0.12,0.0,0.0,0.0,-109.0,-0.06999999999999995,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.13,0.020000000000000004,-118.0,-41.0,-68.0,-9.0,-0.21999999999999997,-3.0,-0.14999999999999997,-6.0,1.0,0.0,1.0,0.030000000000000027,-5.0,-1.0,11.0,0.0,0.0,-2.0,-0.08000000000000002,2.0,0.19999999999999996,-1.0,-0.16999999999999998,0.0,-28.0,1.0767633993440446,,2,0.06847321604013425,0.2890145528597235,0.025003156301782233,3.1,7.4,1.6153846153846154,0.7439284094978831,0
9,0.10999999999999999,-1.0,0.0,0.0,-22.0,-0.029999999999999916,8.0,-2.0,3.0,-1.0,-1.0,1.0,0.0,2.0,-3.0,0.07,0.039999999999999994,-0.01,-21.0,-41.0,19.0,6.0,0.12000000000000005,2.0,0.25,-6.0,1.0,0.0,4.0,0.09999999999999998,-1.0,-1.0,-4.0,1.0,-9.0,-3.0,-0.08000000000000002,-6.0,-0.42,0.0,0.28,0.0,-4.0,1.0643587578572098,,0,0.03986367721205097,0.05224727661896513,0.18430839047475658,2.04,2.75,4.75,0.44189943175846896,0
10,0.4099999999999999,5.0,1.0,1.0,19.0,0.040000000000000036,0.0,0.0,3.0,0.0,3.0,2.0,0.0,3.0,2.0,-0.74,0.36,0.96,12.0,-74.0,93.0,16.0,0.45,6.0,0.06,0.0,0.0,0.0,2.0,0.06999999999999995,-1.0,-2.0,-4.0,-3.0,3.0,1.0,0.040000000000000036,2.0,0.15999999999999998,0.0,0.08000000000000002,0.0,6.0,1.0698632538569426,0.79,0,0.054985056164235054,0.08077525105261497,0.07323470351758075,2.3,3.1,3.2,0.1720773091505668,0
11,1.2,6.0,2.0,1.0,-76.0,-0.040000000000000036,4.0,0.0,3.0,2.0,3.0,1.0,0.0,6.0,0.0,1.21,-0.009999999999999998,1.6,-80.0,-78.0,2.0,-3.0,-0.040000000000000036,2.0,0.4,-4.0,0.0,0.0,-3.0,-0.6,2.0,-1.0,1.0,-2.0,-4.0,0.0,0.0,-4.0,-0.6599999999999999,7.0,,1.0,-18.0,1.0683760683760684,,1,0.27182510717166813,0.014524891982691327,1.6092991486979666,6.0,1.1818181818181819,18.0,1.0318028051733386,2
12,-0.23999999999999994,1.0,-1.0,-1.0,-6.0,0.019999999999999907,0.0,-3.0,0.0,2.0,1.0,-2.0,-1.0,-3.0,4.0,-0.23000000000000004,-0.009999999999999995,0.36,-13.0,0.0,-6.0,-7.0,-0.15999999999999998,0.0,-0.06000000000000001,5.0,0.0,0.0,-4.0,0.14,1.0,2.0,-4.0,-1.0,-10.0,-5.0,-0.13999999999999996,-5.0,-0.34,2.0,0.04999999999999999,0.0,-2.0,1.081616570978273,,2,0.04792403157882442,0.0699255488322377,0.053273874372172916,2.7,3.5,2.35,0.2068390547816069,2
13,-0.8999999999999999,-8.0,-1.0,-1.0,-256.0,-0.33999999999999997,5.0,-1.0,-3.0,-2.0,-1.0,-5.0,0.0,-6.0,-2.0,-0.8099999999999999,-0.1,-0.5300000000000001,-247.0,-96.0,-160.0,2.0,-0.14999999999999997,0.0,0.04999999999999999,4.0,-1.0,0.0,8.0,-0.25,0.0,5.0,-2.0,1.0,-4.0,2.0,0.06000000000000005,-6.0,-0.31000000000000005,-4.0,0.5700000000000001,0.0,-50.0,1.0726122707147376,,2,0.11035021260282019,0.4330127018922193,0.02175189103672083,3.4,7.5,1.55,0.7337537339077163,0
14,-1.22,-4.0,-1.0,0.0,-39.0,-0.05999999999999994,0.0,-1.0,0.0,-2.0,-2.0,0.0,0.0,-3.0,-1.0,-0.33999999999999997,-0.09,-1.02,-36.0,-45.0,6.0,9.0,0.15999999999999998,1.0,0.13,0.0,1.0,0.0,0.0,-0.30000000000000004,1.0,0.0,-6.0,1.0,3.0,1.0,0.040000000000000036,2.0,0.10000000000000003,-2.0,0.09999999999999998,-2.0,-10.0,1.0788482834994462,-0.79,2,1.4760849236823301,4.272611418480896,0.11187276749872506,6.45,15.0,1.1666666666666667,0.9259526951181494,2
15,0.75,0.0,1.0,0.0,-117.0,-0.12,-3.0,1.0,-2.0,0.0,1.0,-1.0,0.0,3.0,-3.0,-0.11999999999999997,0.09,1.29,-123.0,-3.0,-114.0,0.0,0.020000000000000018,0.0,0.08000000000000002,-7.0,-1.0,0.0,-1.0,-0.019999999999999907,5.0,1.0,4.0,0.0,6.0,5.0,0.09000000000000002,1.0,0.06000000000000005,3.0,0.17999999999999994,1.0,-34.0,1.0562770562770563,0.79,1,0.13228289924286815,0.018798663338634593,0.3746743377588062,4.2,1.4,9.625,0.8239864238171393,1
16,0.21000000000000002,3.0,0.0,0.0,193.0,0.08999999999999997,-2.0,1.0,8.0,1.0,0.0,2.0,0.0,2.0,1.0,0.08,0.13,,200.0,49.0,144.0,-8.0,-0.19000000000000006,1.0,0.07,-4.0,2.0,0.0,1.0,0.06000000000000005,-6.0,-2.0,-10.0,0.0,3.0,6.0,0.19999999999999996,-3.0,-0.24,3.0,-0.040000000000000036,0.0,40.0,1.0793650793650793,,1,0.05071101531425134,0.026182721803086197,0.24370979395137174,2.625,1.8,7.0,0.733831508799587,1
17,1.24,5.0,1.0,1.0,-10.0,0.020000000000000018,0.0,2.0,5.0,3.0,1.0,1.0,0.0,7.0,-2.0,0.21999999999999997,1.02,0.57,-17.0,-15.0,5.0,3.0,0.14,6.0,0.14,-7.0,1.0,0.0,-3.0,-0.31999999999999995,2.0,-3.0,-15.0,0.0,1.0,-2.0,-0.050000000000000044,3.0,0.18999999999999995,-3.0,0.08000000000000002,0.0,0.0,1.0787458155879208,,1,0.09228014412645881,0.04411449634770399,0.11916983243228003,2.6125,2.1,4.55,0.41853419983087164,0
18,0.74,7.0,1.0,1.0,79.0,0.06000000000000005,6.0,2.0,5.0,1.0,3.0,3.0,1.0,4.0,3.0,0.55,0.19,0.43,72.0,57.0,22.0,-2.0,0.020000000000000018,2.0,0.08999999999999997,-3.0,0.0,0.0,-2.0,-0.07,-1.0,-3.0,-8.0,-2.0,-5.0,-7.0,-0.21999999999999997,2.0,0.12000000000000005,2.0,-0.07,1.0,14.0,1.0652100840336134,,1,0.2407456697609544,0.011858245681014462,2.83331637148054,7.0,1.1333333333333333,25.0,1.1260633082655664,1
19,-0.040000000000000036,-2.0,2.0,1.0,60.0,0.08000000000000007,-3.0,0.0,-1.0,-2.0,2.0,-2.0,0.0,1.0,-3.0,-0.26999999999999996,0.23,0.22,56.0,53.0,7.0,5.0,0.16000000000000003,-3.0,-0.19999999999999998,1.0,0.0,0.0,-3.0,-0.30000000000000004,1.0,2.0,-1.0,-1.0,5.0,4.0,0.09000000000000002,1.0,0.08000000000000002,2.0,-0.010000000000000009,1.0,12.0,1.0716783216783217,,1,0.10924773613315454,0.2447325262660022,1.0749676997731399,4.333333333333334,1.3333333333333333,11.0,0.8906177631284926,1
20,-0.97,-7.0,-1.0,0.0,45.0,0.010000000000000009,-2.0,1.0,-5.0,-5.0,-2.0,0.0,0.0,-6.0,-1.0,-0.6799999999999999,-0.29,-1.3199999999999998,54.0,54.0,-9.0,1.0,0.03999999999999998,-7.0,-0.41,1.0,1.0,0.0,0.0,-0.24000000000000005,0.0,0.0,5.0,1.0,0.0,-1.0,-0.030000000000000027,1.0,0.06000000000000005,-8.0,-0.13999999999999996,-1.0,8.0,1.0762903371599024,,2,0.10726025060599927,0.3455600739464592,0.027104143494649884,3.7,6.5,1.5333333333333332,0.6366616084041055,2
21,0.37,6.0,1.0,1.0,28.0,0.06999999999999995,2.0,0.0,6.0,1.0,4.0,1.0,0.0,2.0,4.0,0.17,0.2,1.04,21.0,-12.0,40.0,-3.0,0.03999999999999998,2.0,0.14,11.0,0.0,0.0,-3.0,-0.22999999999999998,2.0,-1.0,-15.0,-3.0,-3.0,0.0,0.0,-3.0,-0.10000000000000003,4.0,0.6299999999999999,1.0,8.0,1.070748299319728,,1,0.211001147804935,0.015674469001278665,1.2578641509408806,4.9,1.25,15.0,1.010308519045919,2
22,0.07,5.0,-2.0,-2.0,13.0,0.010000000000000009,-5.0,-1.0,-1.0,2.0,3.0,0.0,-1.0,1.0,4.0,-0.15,0.22,0.49,13.0,-17.0,30.0,17.0,0.31,1.0,-0.020000000000000018,7.0,0.0,0.0,6.0,0.06999999999999995,-4.0,0.0,-2.0,-3.0,18.0,13.0,0.47,5.0,0.25,1.0,0.46,0.0,4.0,1.0760233918128654,,1,0.05750566225902712,0.04241825029957629,0.18360307784849209,2.375,2.25,4.75,0.4507771067833858,1
23,1.1600000000000001,7.0,2.0,0.0,144.0,0.10999999999999999,2.0,0.0,-1.0,2.0,5.0,0.0,0.0,7.0,0.0,1.1900000000000002,-0.03,1.86,134.0,11.0,133.0,17.0,0.47000000000000003,4.0,0.2,2.0,1.0,0.0,0.0,-0.10999999999999999,0.0,0.0,-1.0,-3.0,3.0,0.0,,2.0,1.0,1.0,0.17,2.0,24.0,1.049019607843137,,1,1.9115384481496376,0.006046829749790976,9.186947262284681,17.0,1.0303030303030303,51.0,1.1091319840646987,1
24,-0.9200000000000002,-3.0,0.0,1.0,87.0,0.07999999999999996,6.0,2.0,-3.0,-3.0,0.0,0.0,0.0,-4.0,1.0,-0.49000000000000005,-0.42,-0.30999999999999994,89.0,67.0,20.0,5.0,0.10999999999999999,-1.0,-0.07999999999999999,3.0,0.0,0.0,-1.0,-0.42,3.0,0.0,-7.0,-1.0,-8.0,-5.0,-0.18,-3.0,-0.15999999999999998,-1.0,0.17000000000000004,-1.0,22.0,1.0680555555555555,,2,0.07370567109495102,0.2657002500547472,0.04085111775125288,3.2,5.0,1.8,0.4812483766206385,2
25,0.10000000000000003,0.0,1.0,0.0,-95.0,-0.17000000000000004,0.0,1.0,-1.0,1.0,1.0,-2.0,0.0,-2.0,2.0,0.08999999999999997,0.03,0.64,-101.0,-46.0,-49.0,3.0,0.030000000000000027,1.0,0.25,-4.0,2.0,0.0,2.0,-0.039999999999999925,0.0,2.0,2.0,-1.0,-1.0,5.0,0.15999999999999998,-6.0,-0.5,1.0,0.19999999999999996,0.0,-30.0,1.0961226595901519,,0,0.06823163163486244,0.1267355184772992,0.07206110956382832,2.375,3.4,2.625,0.1908710564859995,0
26,1.4100000000000001,2.0,3.0,2.0,-23.0,-0.040000000000000036,-1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5700000000000001,0.05,1.58,-13.0,-28.0,5.0,3.0,-0.06,1.0,0.16,0.0,2.0,0.0,1.0,0.15000000000000002,-4.0,-1.0,1.0,0.0,-1.0,-2.0,-0.10000000000000003,1.0,0.19999999999999996,-3.0,-0.47000000000000003,1.0,-2.0,1.0737179487179487,0.79,1,0.09451631252505219,0.020238288151807244,0.4163331998932266,3.9,1.4444444444444444,8.0,0.7445738476800315,1
27,0.23,3.0,0.0,0.0,12.0,-0.020000000000000018,-3.0,-1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.16,0.07,0.09999999999999999,20.0,-6.0,18.0,7.0,0.13000000000000006,1.0,0.14,2.0,0.0,0.0,0.0,-0.08999999999999997,-4.0,-1.0,3.0,-1.0,10.0,7.0,0.15999999999999998,3.0,0.15000000000000008,4.0,0.17000000000000004,0.0,4.0,1.099206349206349,,1,0.07955095124235179,0.03435921354681386,0.23015245211881857,2.4,2.1,4.846153846153847,0.483528412455336,0
